School Name,City and State,Type,Conference,Division
Catawba Valley Community College,"Hickory, North Carolina",Public,REG10N,JC
Catholic University of America,"Washington, District Of Columbia",Private,Landmark Conference,NCAA D3
Cecil College,"North East, Maryland",Public,MD JUCO,JC
Cedar Valley College,"Lancaster, Texas",Public,Dallas Athletic Conference,JC
Cedarville University,"Cedarville, Ohio",Private,Great Midwest Athletic Conference,NCAA D2
Centenary College of Louisiana,"Shreveport, Louisiana",Private,Southern Collegiate Athletic Conference,NCAA D3
Centenary University – New Jersey,"Hackettstown, New Jersey",Private,Atlantic East Conference,NCAA D3
Central Alabama Community College,"Alexander City, Alabama",Public,Alabama Community College Conference,JC
Central Arizona College,"Coolidge, Arizona",Public,ACCAC,JC
Central Baptist College,"Conway, Arkansas",Private,American Midwest Conference,NAIA
Central Christian College of Kansas,"Mcpherson, Kansas",Private,Sooner Athletic Conference,NAIA
Central College,"Pella, Iowa",Private,American Rivers Conference,NCAA D3
Central Connecticut State University,"New Britain, Connecticut",Public,Northeast Conference,NCAA D1
Central Lakes College – Brainerd,"Brainerd, Minnesota",Public,MCAC,JC
Central Maine Community College,"Auburn, Maine",Public,Yankee Small College Conference,JC
Central Methodist University,"Fayette, Missouri",Private,Heart of America Athletic Conference,NAIA
Central Michigan University,"Mount Pleasant, Michigan",Public,Mid-American Conference,NCAA D1
Central Washington University,"Ellensburg, Washington",Public,Great Northwest Athletic Conference,NCAA D2
Centralia College,"Centralia, Washington",Public,Northwest Athletic Conference,JC
Centre College,"Danville, Kentucky",Private,Southern Athletic Association,NCAA D3
Century College – Minnesota,"White Bear Lake, Minnesota",Public,MCAC,JC
Chabot College,"Hayward, California",Public,Coast Conference,JC
Chaffey College,"Rancho Cucamonga, California",Public,South Coast Conference,JC
Chaminade University of Honolulu,"Honolulu, Hawaii",Private,Pacific West Conference,NCAA D2
Chandler-Gilbert Community College,"Chandler, Arizona",Public,ACCAC,JC
Chapman University,"Orange, California",Private,Southern California Intercollegiate Athletic Conference,NCAA D3
Charleston Southern University,"Charleston, South Carolina",Private,Big South Conference,NCAA D1
