School Name,City and State,Type,Conference,Division
University of North Carolina at Pembroke,"Pembroke, North Carolina",Public,Conference Carolinas,NCAA D2
University of North Florida,"Jacksonville, Florida",Public,Atlantic Sun Conference,NCAA D1
University of North Georgia,"Dahlonega, Georgia",Public,Peach Belt Conference,NCAA D2
University of Northern Colorado,"Greeley, Colorado",Public,Big Sky Conference,NCAA D1
University of Northwestern – St. Paul,"Saint Paul, Minnesota",Private,Upper Midwest Athletic Conference,NCAA D3
University of Northwestern Ohio,"Lima, Ohio",Private,Wolverine-Hoosier Athletic Conference,NAIA
University of Notre Dame,"Notre Dame, Indiana",Private,Atlantic Coast Conference,NCAA D1
University of Oklahoma,"Norman, Oklahoma",Public,Southeastern Conference,NCAA D1
University of Olivet,"Olivet, Michigan",Private,Michigan Intercollegiate Athletic Association,NCAA D3
University of Oregon,"Eugene, Oregon",Public,Big Ten,NCAA D1
University of Pennsylvania – Penn,"Philadelphia, Pennsylvania",Private,Ivy League,NCAA D1
University of Pikeville,"Pikeville, Kentucky",Private,Appalachian Athletic Conference,NAIA
University of Pittsburgh,"Pittsburgh, Pennsylvania",Public,Atlantic Coast Conference,NCAA D1
University of Pittsburgh – Bradford,"Bradford, Pennsylvania",Public,Allegheny Mountain Collegiate Conference,NCAA D3
University of Pittsburgh – Greensburg,"Greensburg, Pennsylvania",Public,Allegheny Mountain Collegiate Conference,NCAA D3
University of Pittsburgh – Johnstown,"Johnstown, Pennsylvania",Public,Pennsylvania State Athletic Conference,NCAA D2
University of Portland,"Portland, Oregon",Private,West Coast Conference,NCAA D1
University of Puget Sound,"Tacoma, Washington",Private,Northwest Conference,NCAA D3
University of Redlands,"Redlands, California",Private,Southern California Intercollegiate Athletic Conference,NCAA D3
University of Rhode Island,"Kingston, Rhode Island",Public,Colonial Athletic Association,NCAA D1
University of Richmond,"University Of Richmond, Virginia",Private,Alantic 10 conference,NCAA D1
University of Rio Grande,"Rio Grande, Ohio",Private,River States Conference,NAIA
University of Rochester,"Rochester, New York",Private,University Athletic Association,NCAA D3
University of Saint Francis – Indiana,"Fort Wayne, Indiana",Private,Crossroads League,NAIA
University of Saint Joseph,"West Hartford, Connecticut",Private,Great Northeast Athletic Conference,NCAA D3
University of Saint Mary,"Leavenworth, Kansas",Private,Kansas Collegiate Athletic Conference,NAIA
University of San Diego,"San Diego, California",Private,West Coast Conference,NCAA D1
University of San Francisco,"San Francisco, California",Private,West Coast Conference,NCAA D1
University of Science & Arts of Oklahoma,"Chickasha, Oklahoma",Public,Sooner Athletic Conference,NAIA
University of Scranton,"Scranton, Pennsylvania",Private,Landmark Conference,NCAA D3
University of Sioux Falls,"Sioux Falls, South Dakota",Private,Northern Sun Intercollegiate Conference,NCAA D2
University of South Alabama,"Mobile, Alabama",Public,Sun Belt Conference,NCAA D1
University of South Carolina,"Columbia, South Carolina",Public,Southeastern Conference,NCAA D1
University of South Carolina – Beaufort,"Bluffton, South Carolina",Public,Peach Belt Conference,NCAA D2
University of South Carolina – Lancaster Campus,"Lancaster, South Carolina",Public,REG10N,JC
University of South Carolina – Salkehatchie,"Walterboro, South Carolina",Public,REG10N,JC
University of South Carolina – Sumter,"Sumter, South Carolina",Public,REG10N,JC
University of South Carolina – Union,"Union, South Carolina",Public,REG10N,JC
University of South Carolina – Upstate,"Spartanburg, South Carolina",Public,Big South Conference,NCAA D1
University of South Carolina Aiken,"Aiken, South Carolina",Public,Peach Belt Conference,NCAA D2
University of South Florida,"Tampa, Florida",Public,American Athletic Conference,NCAA D1
University of Southern California,"Los Angeles, California",Private,Big Ten,NCAA D1
University of Southern Indiana,"Evansville, Indiana",Public,Ohio Valley Conference,NCAA D1
University of Southern Maine,"Portland, Maine",Public,Little East Conference,NCAA D3
University of Southern Mississippi,"Hattiesburg, Mississippi",Public,Sun Belt Conference,NCAA D1
University of St. Francis – Illinois,"Joliet, Illinois",Private,Chicagoland Collegiate Athletic Conference,NAIA
University of St. Thomas – Minnesota,"Saint Paul, Minnesota",Private,The Summit League,NCAA D1
University of St. Thomas – Texas,"Houston, Texas",Private,Southern Collegiate Athletic Conference,NCAA D3
University of Tampa,"Tampa, Florida",Private,Sunshine State Conference,NCAA D2
University of Tennessee,"Knoxville, Tennessee",Public,Southeastern Conference,NCAA D1
University of Tennessee – Martin,"Martin, Tennessee",Public,Ohio Valley Conference,NCAA D1
University of Tennessee Southern,"Pulaski, Tennessee",Private,Southern States Athletic Conference,NAIA
University of Texas – Arlington,"Arlington, Texas",Public,Western Athletic Conference,NCAA D1
University of Texas – Austin,"Austin, Texas",Public,Southeastern Conference,NCAA D1
University of Texas – Permian Basin,"Odessa, Texas",Public,Lone Star Conference,NCAA D2
University of Texas – Rio Grande Valley,"Edinburg, Texas",Public,Western Athletic Conference,NCAA D1
University of Texas – San Antonio,"San Antonio, Texas",Public,American Athletic Conference,NCAA D1
University of Texas – Tyler,"Tyler, Texas",Public,Lone Star Conference,NCAA D2
University of Texas at Dallas,"Richardson, Texas",Public,American Southwest Conference,NCAA D3
University of the Cumberlands,"Williamsburg, Kentucky",Private,Mid-South Conference,NAIA
University of the Incarnate Word,"San Antonio, Texas",Private,Southland Conference,NCAA D1
University of the Ozarks,"Clarksville, Arkansas",Private,Southern Collegiate Athletic Conference,NCAA D3
University of the Pacific,"Stockton, California",Private,West Coast Conference,NCAA D1
University of the Southwest,"Hobbs, New Mexico",Private,Red River Athletic Conference,NAIA
University of Toledo,"Toledo, Ohio",Public,Mid-American Conference,NCAA D1
University of Utah,"Salt Lake City, Utah",Public,Big 12 Conference,NCAA D1
University of Valley Forge,"Phoenixville, Pennsylvania",Private,United East Conference,NCAA D3
University of Virginia,"Charlottesville, Virginia",Public,Atlantic Coast Conference,NCAA D1
University of Washington,"Seattle, Washington",Public,Big Ten,NCAA D1
University of West Alabama,"Livingston, Alabama",Public,Gulf South Conference,NCAA D2
University of West Florida,"Pensacola, Florida",Public,Gulf South Conference,NCAA D2
University of West Georgia,"Carrollton, Georgia",Public,United Athletic Conference,NCAA D1
University of Wisconsin – Eau Claire,"Eau Claire, Wisconsin",Public,Wisconsin Intercollegiate Athletic Conference,NCAA D3
University of Wisconsin – La Crosse,"La Crosse, Wisconsin",Public,Wisconsin Intercollegiate Athletic Conference,NCAA D3
University of Wisconsin – Milwaukee,"Milwaukee, Wisconsin",Public,Horizon League,NCAA D1
University of Wisconsin – Oshkosh,"Oshkosh, Wisconsin",Public,Wisconsin Intercollegiate Athletic Conference,NCAA D3
University of Wisconsin – Parkside,"Kenosha, Wisconsin",Public,Great Lakes Valley Conference,NCAA D2
University of Wisconsin – Platteville,"Platteville, Wisconsin",Public,Wisconsin Intercollegiate Athletic Conference,NCAA D3
University of Wisconsin – River Falls,"River Falls, Wisconsin",Public,Wisconsin Intercollegiate Athletic Conference,NCAA D3
University of Wisconsin – Stevens Point,"Stevens Point, Wisconsin",Public,Wisconsin Intercollegiate Athletic Conference,NCAA D3
University of Wisconsin – Stout,"Menomonie, Wisconsin",Public,Wisconsin Intercollegiate Athletic Conference,NCAA D3
University of Wisconsin – Superior,"Superior, Wisconsin",Public,Wisconsin Intercollegiate Athletic Conference,NCAA D3
University of Wisconsin – Whitewater,"Whitewater, Wisconsin",Public,Wisconsin Intercollegiate Athletic Conference,NCAA D3
Upper Iowa University,"Fayette, Iowa",Private,Great Lakes Valley Conference,NCAA D2
Ursinus College,"Collegeville, Pennsylvania",Private,Centennial Conference,NCAA D3
Utah State University Eastern,"Price, Utah",Public,Scenic West Athletic Conference,JC
Utah Valley University,"Orem, Utah",Public,Western Athletic Conference,NCAA D1
Utica University,"Utica, New York",Private,Empire 8 Athletic Conference,NCAA D3
Valdosta State University,"Valdosta, Georgia",Public,Gulf South Conference,NCAA D2
Valley City State University,"Valley City, North Dakota",Public,Frontier Conference,NAIA
Valparaiso University,"Valparaiso, Indiana",Private,Missouri Valley Conference,NCAA D1
Vanderbilt University,"Nashville, Tennessee",Private,Southeastern Conference,NCAA D1
Vanguard University,"Costa Mesa, California",Private,Great Southwest Athletic Conference,NAIA
Vassar College,"Poughkeepsie, New York",Private,Liberty League,NCAA D3
Vaughn College of Aeronautics & Technology,"Flushing, New York",Private,United States Collegiate Athletic Association,NCAA D3
Vermont State University – Castleton,"Castleton, Vermont",Public,Little East Conference,NCAA D3
Vermont State University – Lyndon,"Lyndonville, Vermont",Public,North Atlantic Conference,NCAA D3
Vernon College,"Vernon, Texas",Public,NTJCAC,JC
Victor Valley College,"Victorville, California",Public,IEAC,JC
Villanova University,"Villanova, Pennsylvania",Private,Big East Conference,NCAA D1
Vincennes University,"Vincennes, Indiana",Public,Mid-West Athletic Conference,JC
Virginia Commonwealth University,"Richmond, Virginia",Public,Atlantic 10 Conference,NCAA D1
Virginia Military Institute – VMI,"Lexington, Virginia",Public,Big South Conference,NCAA D1
Virginia Peninsula Community College,"Hampton, Virginia",Public,Region 10,JC
Virginia State University,"Petersburg, Virginia",Public,Central Intercollegiate Athletic Association,NCAA D2
Virginia Tech,"Blacksburg, Virginia",Public,Atlantic Coast Conference,NCAA D1
Virginia Wesleyan University,"Virginia Beach, Virginia",Private,Old Dominion Athletic Conference,NCAA D3
Viterbo University,"La Crosse, Wisconsin",Private,Chicagoland Collegiate Athletic Conference,NAIA
Volunteer State Community College,"Gallatin, Tennessee",Public,TCCAA,JC
Voorhees College,"Denmark, South Carolina",Private,HBCU Athletic Conference,NAIA
Wabash College,"Crawfordsville, Indiana",Private,North Coast Athletic Conference,NCAA D3
Wabash Valley College,"Mount Carmel, Illinois",Public,Great Rivers Athletic Conference,JC
Wagner College,"Staten Island, New York",Private,Northeast Conference,NCAA D1
Wake Forest University,"Winston Salem, North Carolina",Private,Atlantic Coast Conference,NCAA D1
Wake Technical Community College,"Raleigh, North Carolina",Public,REG10N,JC
Waldorf University,"Forest City, Iowa",Private,Great Plains Athletic Conference,NAIA
Walla Walla Community College,"Walla Walla, Washington",Public,Northwest Athletic Conference,JC
Wallace Community College,"Selma, Alabama",Public,Alabama Community College Conference,JC
Wallace Community College – Dothan,"Dothan, Alabama",Public,Alabama Community College Conference,JC
Wallace State Community College – Hanceville,"Hanceville, Alabama",Public,Alabama Community College Conference,JC
Walsh University,"North Canton, Ohio",Private,Great Midwest Athletic Conference,NCAA D2
Walters State Community College,"Morristown, Tennessee",Public,TCCAA,JC
Warner University,"Lake Wales, Florida",Private,Sun Conference,NAIA
Wartburg College,"Waverly, Iowa",Private,American Rivers Conference,NCAA D3
Washburn University,"Topeka, Kansas",Public,Mid-America Intercollegiate Athletics Association,NCAA D2
Washington & Jefferson College,"Washington, Pennsylvania",Private,Presidents' Athletic Conference,NCAA D3
Washington & Lee University,"Lexington, Virginia",Private,Old Dominion Athletic Conference,NCAA D3
Washington College,"Chestertown, Maryland",Private,Centennial Conference,NCAA D3
Washington State University,"Pullman, Washington",Public,West Coast Conference,NCAA D1
Washington University in St. Louis,"Saint Louis, Missouri",Private,University Athletic Association,NCAA D3
Waubonsee Community College,"Sugar Grove, Illinois",Public,Illinois Skyway Collegiate Conference,JC
Wayland Baptist University,"Plainview, Texas",Private,Sooner Athletic Conference,NAIA
Wayne State College,"Wayne, Nebraska",Public,Northern Sun Intercollegiate Conference,NCAA D2
Wayne State University,"Detroit, Michigan",Public,Great Lakes Intercollegiate Athletic Conference,NCAA D2
Waynesburg University,"Waynesburg, Pennsylvania",Private,Presidents' Athletic Conference,NCAA D3
Weatherford College,"Weatherford, Texas",Public,NTJCAC,JC
Webber International University,"Babson Park, Florida",Private,Sun Conference,NAIA
Webster University,"Saint Louis, Missouri",Private,St. Louis Intercollegiate Athletic Conference,NCAA D3
Wenatchee Valley College,"Wenatchee, Washington",Public,Northwest Athletic Conference,JC
Wentworth Institute of Technology,"Boston, Massachusetts",Private,Commonwealth Coast Conference,NCAA D3
Wesleyan University,"Middletown, Connecticut",Private,New England Small College Athletic Conference,NCAA D3
West Chester University of Pennsylvania,"West Chester, Pennsylvania",Public,Pennsylvania State Athletic Conference,NCAA D2
West Liberty University,"West Liberty, West Virginia",Public,Mountain East Conference,NCAA D2
West Los Angeles College,"Culver City, California",Public,Western State Conference,JC
West Texas A&M University,"Canyon, Texas",Public,Lone Star Conference,NCAA D2
West Valley College,"Saratoga, California",Public,Coast Conference,JC
West Virginia State University,"Institute, West Virginia",Public,Mountain East Conference,NCAA D2
West Virginia University,"Morgantown, West Virginia",Public,Big 12 Conference,NCAA D1
West Virginia University Institute of Technology,"Beckley, West Virginia",Public,River States Conference,NAIA
West Virginia University Potomac State College,"Keyser, West Virginia",Public,Region 20,JC
West Virginia Wesleyan College,"Buckhannon, West Virginia",Private,Mountain East Conference,NCAA D2
Westcliff University,"Irvine, California",Private,California Pacific Conference,NAIA
Western Carolina University,"Cullowhee, North Carolina",Public,Southern Conference,NCAA D1
Western Connecticut State University,"Danbury, Connecticut",Public,Little East Conference,NCAA D3
Western Illinois University,"Macomb, Illinois",Public,Ohio Valley Conference,NCAA D1
Western Kentucky University,"Bowling Green, Kentucky",Public,Conference USA,NCAA D1
Western Michigan University,"Kalamazoo, Michigan",Public,Mid-American Conference,NCAA D1
Western Nebraska Community College,"Scottsbluff, Nebraska",Public,Region 9,JC
Western New England University,"Springfield, Massachusetts",Private,Commonwealth Coast Conference,NCAA D3
Western Oklahoma State College,"Altus, Oklahoma",Public,Region 2,JC
Western Oregon University,"Monmouth, Oregon",Public,Great Northwest Athletic Conference,NCAA D2
Western Technical College – Wisconsin,"La Crosse, Wisconsin",Public,MCAC,JC
Western Texas College,"Snyder, Texas",Public,WJCAC,JC
Westfield State University,"Westfield, Massachusetts",Public,Massachusetts State Collegiate Athletic Conference,NCAA D3
Westminster College – Missouri,"Fulton, Missouri",Private,St. Louis Intercollegiate Athletic Conference,NCAA D3
Westminster College – Pennsylvania,"New Wilmington, Pennsylvania",Private,Presidents' Athletic Conference,NCAA D3
Westmont College,"Santa Barbara, California",Private,PacWest Conference,NCAA D2
Westmoreland County Community College,"Youngwood, Pennsylvania",Public,Region 20,JC
Wharton County Junior College,"Wharton, Texas",Public,Region 24,JC
Wheaton College – Illinois,"Wheaton, Illinois",Private,College Conference of Illinois and Wisconsin,NCAA D3
Wheaton College – Massachusetts,"Norton, Massachusetts",Private,New England Women's & Men's Athletic Conference,NCAA D3
Wheeling University,"Wheeling, West Virginia",Private,Mountain East Conference,NCAA D2
Whitman College,"Walla Walla, Washington",Private,Northwest Conference,NCAA D3
Whittier College,"Whittier, California",Private,Southern California Intercollegiate Athletic Conference,NCAA D3
Whitworth University,"Spokane, Washington",Private,Northwest Conference,NCAA D3
Wichita State University,"Wichita, Kansas",Public,American Athletic Conference,NCAA D1
Widener University,"Chester, Pennsylvania",Private,Middle Atlantic Conferences,NCAA D3
Wilberforce University,"Wilberforce, Ohio",Private,HBCU Athletic Conference,NAIA
Wiley College,"Marshall, Texas",Private,HBCU Athletic Conference,NAIA
Wilkes University,"Wilkes Barre, Pennsylvania",Private,Landmark Conference,NCAA D3
Willamette University,"Salem, Oregon",Private,Northwest Conference,NCAA D3
William & Mary,"Williamsburg, Virginia",Public,Colonial Athletic Association,NCAA D1
William Carey University,"Hattiesburg, Mississippi",Private,Southern States Athletic Conference,NAIA
William Jessup University,"Rocklin, California",Private,PacWest Conference,NCAA D2
William Jewell College,"Liberty, Missouri",Private,Great Lakes Valley Conference,NCAA D2
William Paterson University of New Jersey,"Wayne, New Jersey",Public,New Jersey Athletic Conference,NCAA D3
William Peace University,"Raleigh, North Carolina",Private,USA South Athletic Conference,NCAA D3
William Penn University,"Oskaloosa, Iowa",Private,Heart of America Athletic Conference,NAIA
William Woods University,"Fulton, Missouri",Private,American Midwest Conference,NAIA
Williams Baptist University,"Walnut Ridge, Arkansas",Private,American Midwest Conference,NAIA
Williams College,"Williamstown, Massachusetts",Private,New England Small College Athletic Conference,NCAA D3
Williamson College of the Trades,"Media, Pennsylvania",Private,USCAA,JC
Williston State College,"Williston, North Dakota",Public,Mon-Dak Conference,JC
Wilmington College,"Wilmington, Ohio",Private,Ohio Athletic Conference,NCAA D3
Wilmington University,"New Castle, Delaware",Private,Central Atlantic Collegiate Conference,NCAA D2
Wilson College,"Chambersburg, Pennsylvania",Private,United East Conference,NCAA D3
Wingate University,"Wingate, North Carolina",Private,South Atlantic Conference,NCAA D2
Winona State University,"Winona, Minnesota",Public,Northern Sun Intercollegiate Conference,NCAA D2
Winthrop University,"Rock Hill, South Carolina",Public,Big South Conference,NCAA D1
Wisconsin Lutheran College,"Milwaukee, Wisconsin",Private,Northern Athletics Collegiate Conference,NCAA D3
Wittenberg University,"Springfield, Ohio",Private,North Coast Athletic Conference,NCAA D3
Wofford College,"Spartanburg, South Carolina",Private,Southern Conference,NCAA D1
Worcester Polytechnic Institute,"Worcester, Massachusetts",Private,New England Women's & Men's Athletic Conference,NCAA D3
Worcester State University,"Worcester, Massachusetts",Public,Massachusetts State Collegiate Athletic Conference,NCAA D3
Wright State University,"Dayton, Ohio",Public,Horizon League,NCAA D1
Xavier University,"Cincinnati, Ohio",Private,Big East Conference,NCAA D1
Xavier University of Louisiana,"New Orleans, Louisiana",Private,Red River Athletic Conference,NAIA
Yakima Valley College,"Yakima, Washington",Public,Northwest Athletic Conference,JC
Yale University,"New Haven, Connecticut",Private,Ivy League,NCAA D1
Yavapai College,"Prescott, Arizona",Public,ACCAC,JC
Yeshiva University,"New York, New York",Private,Skyline Conference,NCAA D3
York College of Pennsylvania,"York, Pennsylvania",Private,Middle Atlantic Conferences,NCAA D3
York University,"York, Nebraska",Private,Kansas Collegiate Athletic Conference,NAIA
Young Harris College,"Young Harris, Georgia",Private,Conference Carolinas,NCAA D2
Youngstown State University,"Youngstown, Ohio",Public,Missouri Valley Conference,NCAA D1
